Source,Target,Type,Id,Label,Weight
18,5,Directed,1002585,,4
18,133,Directed,1002586,,1
18,134,Directed,1002600,,1
18,135,Directed,1002614,,1
18,33,Directed,1002615,,3
18,136,Directed,1002628,,1
18,37,Directed,1002629,,1
18,137,Directed,1002642,,1
18,35,Directed,1002643,,1
18,138,Directed,1002656,,1
18,139,Directed,1002670,,1
18,140,Directed,1002684,,1
18,41,Directed,1002685,,1
18,141,Directed,1002698,,1
18,45,Directed,1002699,,1
18,142,Directed,1002712,,1
18,50,Directed,1002713,,1
18,143,Directed,1002726,,1
18,70,Directed,1002727,,1
18,144,Directed,1002740,,1
18,63,Directed,1002741,,1
19,145,Directed,1002754,,1
19,2,Directed,1002755,,12
19,NA,Directed,1002756,,30
19,M,Directed,1002758,,6
19,TRUE,Directed,1002759,,20
19,FALSE,Directed,1002760,,70
19,1,Directed,1002766,,19
19,4,Directed,1002767,,5
19,146,Directed,1002768,,1
19,3,Directed,1002769,,7
19,F,Directed,1002772,,9
19,5,Directed,1002781,,4
19,147,Directed,1002782,,1
19,148,Directed,1002796,,1
19,32,Directed,1002797,,1
19,149,Directed,1002810,,1
19,21,Directed,1002811,,1
19,150,Directed,1002824,,1
19,25,Directed,1002825,,1
19,151,Directed,1002838,,1
19,26,Directed,1002839,,1
19,152,Directed,1002852,,1
19,29,Directed,1002853,,2
19,153,Directed,1002866,,1
19,154,Directed,1002880,,1
19,40,Directed,1002881,,2
19,155,Directed,1002894,,1
19,30,Directed,1002896,,1
19,100,Directed,1002897,,2
19,156,Directed,1002908,,1
19,157,Directed,1002922,,1
19,44,Directed,1002923,,2
19,158,Directed,1002936,,1
19,159,Directed,1002950,,1
20,160,Directed,1002964,,1
20,2,Directed,1002965,,4
20,NA,Directed,1002966,,19
20,M,Directed,1002968,,5
20,TRUE,Directed,1002969,,14
20,FALSE,Directed,1002970,,40
20,1,Directed,1002975,,13
20,5,Directed,1002977,,6
20,161,Directed,1002978,,1
20,14,Directed,1002979,,1
20,4,Directed,1002991,,5
20,162,Directed,1002992,,1
20,33,Directed,1002993,,1
20,F,Directed,1002996,,4
20,163,Directed,1003006,,1
20,34,Directed,1003007,,1
20,164,Directed,1003020,,1
20,30,Directed,1003021,,1
20,165,Directed,1003034,,1
20,27,Directed,1003035,,1
20,166,Directed,1003048,,1
20,52,Directed,1003049,,1
20,167,Directed,1003062,,1
20,42,Directed,1003063,,1
20,168,Directed,1003076,,1
21,169,Directed,1003090,,1
21,2,Directed,1003091,,4
21,NA,Directed,1003092,,15
21,M,Directed,1003094,,3
21,TRUE,Directed,1003095,,7
21,FALSE,Directed,1003096,,29
21,1,Directed,1003101,,9
21,4,Directed,1003103,,2
21,170,Directed,1003104,,1
21,39,Directed,1003105,,1
21,F,Directed,1003108,,3
21,5,Directed,1003117,,1
21,171,Directed,1003118,,1
21,37,Directed,1003119,,1
21,172,Directed,1003132,,1
21,3,Directed,1003143,,3
21,173,Directed,1003146,,1
21,174,Directed,1003160,,1
22,175,Directed,1003174,,1
22,1,Directed,1003175,,12
22,NA,Directed,1003176,,17
22,M,Directed,1003178,,4
22,TRUE,Directed,1003179,,10
22,FALSE,Directed,1003180,,32
22,5,Directed,1003187,,6
22,176,Directed,1003188,,1
22,F,Directed,1003192,,3
22,4,Directed,1003201,,3
